Id,Name,PersonId,LastName,FirstName,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount
2410,"HYNES, RICHARD O",52479,,,Biology,Professor,144,2,28,0.0,14,12363,3
5940,"IMPERIALI, BARBARA",176237,,,Biology,Professor,135,0,37,0.0,8,4830,4
2425,"JACKS, TYLER E",50211,,,Biology,Professor,242,11,53,0.0,13,33912,6
1965,"JAENISCH, RUDOLF",288069,,,Biology,Professor,307,2,0,0.0,18,69354,16
5890,"KAISER, CHRIS",56932,,,Biology,Professor,25,0,8,0.0,2,3588,8
2500,"KIM, DENNIS H",54419,,,Biology,Professor,260,0,5,0.0,3,7989,6
3295,"KING, JONATHAN ALAN",176485,,,Biology,Other,155,3,18,0.0,1,3840,0
5465,"KRIEGER, MONTY",56559,,,Biology,Professor,57,1,10,0.0,1,3024,7
2420,"LANDER, ERIC S",152018,,,Biology,Professor,388,4,14,0.0,30,210707,7
1925,"LAUB, MICHAEL T",83316,,,Biology,Professor,87,0,7,0.0,6,5240,6
5415,"LEES, JACQUELINE",59618,,,Biology,Professor,67,1,6,0.0,2,2902,2
23855,"LEHMANN, RUTH E",66756,,,Biology,Professor,91,0,0,0.0,10,3755,8
6465,"LITTLETON, J TROY",288487,,,Biology,Professor,77,0,19,0.0,4,3651,1
9920,"MARTIN, ADAM C",488069,,,Biology,Associate,52,0,4,0.0,2,2954,0
3335,"NEDIVI, ELLY",158035,,,Biology,Professor,37,4,13,0.0,3,1833,1
1990,"ORR-WEAVER, TERRY",74328,,,Biology,Professor,64,0,0,0.0,6,3126,2
5455,"PAGE, DAVID C",74957,,,Biology,Professor,111,1,0,0.0,13,6708,1
4065,"RAJBHANDARY, UTTAM L",176256,,,Biology,Professor,35,0,11,0.0,2,1165,1
5450,"REDDIEN, PETER",161933,,,Biology,Professor,57,0,0,0.0,8,5111,1
5575,"REGEV, AVIV",176255,,,Biology,Professor,379,26,5,0.0,16,73341,9
3175,"SABATINI, DAVID",289215,,,Biology,Professor,237,10,2,0.0,11,65283,10
1920,"SAUER, ROBERT T",164073,,,Biology,Professor,147,1,13,0.0,5,7205,1
7715,"SCHWARTZ, THOMAS",164713,,,Biology,Professor,61,0,9,0.0,1,3111,0
1975,"SHARP, PHILLIP A",122664,,,Biology,Professor,160,7,21,0.0,21,27671,3
2630,"SINSKEY, ANTHONY J",85646,,,Biology,Professor,107,4,9,0.0,2,3599,3
1955,"SIVE, HAZEL L",176497,,,Biology,Professor,86,0,1,0.0,1,2719,5
7620,"STEINER, LISA A",124603,,,Biology,Professor,18,1,3,0.0,1,832,2
7675,"TONEGAWA, SUSUMU",169218,,,Biology,Professor,108,2,23,0.0,8,10209,2
23655,"WALKER, BRUCE",112395,,,Biology,Other,544,0,0,0.0,10,34604,12
4925,"WALKER, GRAHAM C",176500,,,Biology,Professor,234,5,20,0.0,10,7517,1
4075,"WEINBERG, ROBERT A",94944,,,Biology,Professor,179,13,0,0.0,32,79410,4
23965,"WEISSMAN, JONATHAN",315469,,,Biology,Professor,244,4,0,0.0,17,46109,5
2840,"WILSON, MATTHEW A",129535,,,Biology,Professor,88,9,16,0.0,7,7061,0
23890,"YAMASHITA, YUKIKO",116733,,,Biology,Professor,114,0,0,0.0,5,3927,5
1980,"YOUNG, RICHARD A",100462,,,Biology,Professor,261,8,0,0.0,6,47907,0
1065,"ADELSON, EDWARD H",718,,,Brain and Cognitive Sciences,Professor,60,46,15,0.0,10,2923,2
1795,"ANIKEEVA, POLINA OLEGOVNA",488093,,,Brain and Cognitive Sciences,Associate,77,8,14,0.0,6,4490,0
2785,"BEAR, MARK",176351,,,Brain and Cognitive Sciences,Professor,105,0,20,0.0,10,12518,18
2870,"BOYDEN, EDWARD",12578,,,Brain and Cognitive Sciences,Professor,200,11,54,0.0,21,17190,10
2845,"BROWN, EMERY NEAL",176268,,,Brain and Cognitive Sciences,Professor,246,92,5,0.0,13,11883,7
2815,"DESIMONE, ROBERT",176355,,,Brain and Cognitive Sciences,Professor,79,3,10,0.0,7,6323,0
2775,"DICARLO, JAMES",176354,,,Brain and Cognitive Sciences,Professor,65,11,14,0.0,3,5462,4
7550,"FEE, MICHALE SEAN",176353,,,Brain and Cognitive Sciences,Professor,45,1,6,0.0,1,3007,1
2825,"FENG, GUOPING",412326,,,Brain and Cognitive Sciences,Professor,155,2,12,0.0,9,10967,6
16130,"FIETE, ILA",34519,,,Brain and Cognitive Sciences,Associate,32,1,2,0.0,6,1607,1
5895,"GABRIELI, JOHN D. E",140613,,,Brain and Cognitive Sciences,Professor,255,1,36,0.0,9,18915,8
23875,"GHOSH, SATRAJIT S",787699,,,Brain and Cognitive Sciences,Other,90,8,10,0.0,0,5188,1
4980,"GIBSON, EDWARD A",35292,,,Brain and Cognitive Sciences,Professor,101,7,8,0.0,1,3171,7
2770,"GRAYBIEL, ANN M",176361,,,Brain and Cognitive Sciences,Professor,120,3,36,0.0,12,8157,16
19205,"HALASSA, MICHAEL M",746589,,,Brain and Cognitive Sciences,Assistant,50,1,2,0.0,7,3881,6
5780,"HOGAN, NEVILLE",56722,,,Brain and Cognitive Sciences,Professor,86,73,15,0.0,3,4673,0
5915,"KANWISHER, NANCY",57328,,,Brain and Cognitive Sciences,Professor,224,9,23,0.0,9,12267,18
16145,"LEVY, ROGER P",205822,,,Brain and Cognitive Sciences,Associate,43,28,4,0.0,6,5354,0
1030,"MCDERMOTT, JOSHUA HARTMAN",627126,,,Brain and Cognitive Sciences,Associate,81,12,5,0.0,2,2129,2
7680,"MILLER, EARL K",176365,,,Brain and Cognitive Sciences,Professor,101,3,19,0.0,8,6743,9
8470,"PANTAZIS, DIMITRIOS",395312,,,Brain and Cognitive Sciences,Other,75,25,2,0.0,0,3188,3
2375,"POGGIO, TOMASO A",176363,,,Brain and Cognitive Sciences,Professor,77,24,34,0.0,6,6921,22
7885,"PRELEC, DRAZEN",161067,,,Brain and Cognitive Sciences,Professor,36,0,6,0.0,3,3421,16
1035,"ROSENHOLTZ, RUTH ELLEN",544456,,,Brain and Cognitive Sciences,Other,83,9,5,0.0,4,1269,1
4975,"SAXE, REBECCA R",176362,,,Brain and Cognitive Sciences,Professor,145,1,6,0.0,7,9714,20
7290,"SCHULZ, LAURA E",122084,,,Brain and Cognitive Sciences,Professor,61,0,3,0.0,7,2363,0
7690,"SHENG, MORGAN HWA-TZE",103684,,,Brain and Cognitive Sciences,Professor,133,0,2,0.0,8,16255,4
7890,"SINHA, PAWAN",176368,,,Brain and Cognitive Sciences,Professor,135,8,5,0.0,6,1926,0
6965,"SLOTINE, JEAN-JACQUES E",166205,,,Brain and Cognitive Sciences,Professor,94,63,2,0.0,3,6781,6
2800,"SUR, MRIGANKA",176367,,,Brain and Cognitive Sciences,Professor,125,12,38,0.0,7,7569,12
4970,"TENENBAUM, JOSHUA B",108215,,,Brain and Cognitive Sciences,Professor,133,41,21,0.0,9,8909,21
3290,"TSAI, LI-HUEI",176373,,,Brain and Cognitive Sciences,Professor,202,1,39,0.0,9,21208,13
8760,"ULLMAN, SHIMON",544457,,,Brain and Cognitive Sciences,Other,45,26,1,0.0,4,1848,5
23920,"WANG, FAN",170896,,,Brain and Cognitive Sciences,Professor,228,1,5,0.0,9,8457,0
8740,"XU, WEIFENG",289767,,,Brain and Cognitive Sciences,Assistant,43,0,2,0.0,1,2654,0
2405,"ZHANG, FENG",488071,,,Brain and Cognitive Sciences,Professor,609,21,0,0.0,23,89346,0
2435,"ANDERSON, DANIEL GRIFFITH",412267,,,Chemical Engineering,Associate,527,3,10,0.0,1,36925,0
1390,"ARMSTRONG, ROBERT C",2717,,,Chemical Engineering,Professor,27,0,8,0.0,6,2687,0
5475,"BARTON, PAUL I",132682,,,Chemical Engineering,Professor,166,23,9,0.0,4,4381,5
5425,"BAZANT, MARTIN Z",412297,,,Chemical Engineering,Professor,229,7,8,0.0,2,13881,3
2720,"BLANKSCHTEIN, EDMUNDO D",287136,,,Chemical Engineering,Professor,108,4,2,0.0,0,4610,1
2335,"BRAATZ, RICHARD D",412328,,,Chemical Engineering,Professor,293,103,4,0.0,12,7283,14
3225,"COHEN, ROBERT E",21240,,,Chemical Engineering,Other,171,3,0,0.0,8,23007,0
6655,"COLTON, CLARK K",137689,,,Chemical Engineering,Professor,40,3,15,0.0,6,1795,1
2250,"DOYLE, PATRICK S",29241,,,Chemical Engineering,Professor,243,12,13,0.0,2,11063,0
3030,"GLEASON, KAREN K",39925,,,Chemical Engineering,Professor,289,7,19,0.0,9,10779,6
2330,"GREEN, WILLIAM H",144767,,,Chemical Engineering,Professor,209,20,22,0.0,3,5927,0
1875,"HAMMOND, PAULA T",145732,,,Chemical Engineering,Professor,373,5,28,0.0,22,24174,5
2415,"HATTON, TREVOR ALAN",46018,,,Chemical Engineering,Professor,279,0,18,0.0,1,11594,2
7650,"HERZOG, HOWARD J",1108040,,,Chemical Engineering,Other,54,4,14,0.0,0,2442,3
1695,"JENSEN, KLAVS F",54951,,,Chemical Engineering,Professor,293,5,30,0.0,15,19660,6
5585,"LOVE, JOHN C",63580,,,Chemical Engineering,Professor,184,2,32,0.0,6,13732,4
2615,"OLSEN, BRADLEY D",412248,,,Chemical Engineering,Associate,144,0,17,0.0,10,3996,4
1360,"RUTLEDGE, GREGORY C",81733,,,Chemical Engineering,Professor,166,2,9,0.0,4,10749,1
9610,"SIKES JOHNSON, HADLEY",412250,,,Chemical Engineering,Associate,67,0,4,0.0,2,903,1
15310,"SMITH, ZACHARY P",827668,,,Chemical Engineering,Assistant,55,0,2,0.0,3,3164,0
5490,"STEPHANOPOULOS, GEORGE",87081,,,Chemical Engineering,Other,33,2,7,0.0,12,1402,5
5480,"STEPHANOPOULOS, GREGORY",176252,,,Chemical Engineering,Professor,267,7,30,0.0,18,21276,20
1380,"STRANO, MICHAEL S",106262,,,Chemical Engineering,Professor,366,6,27,0.0,18,33729,9
1885,"TROUT, BERNHARDT L",126739,,,Chemical Engineering,Professor,173,0,6,0.0,3,7461,7
7195,"VIRK, PREETINDER S",92469,,,Chemical Engineering,Other,6,0,0,0.0,0,200,0
6135,"WANG, DANIEL I. C",176262,,,Chemical Engineering,Professor,82,1,5,0.0,7,6016,0
1700,"BAWENDI, MOUNGI G",6075,,,Chemistry,Professor,305,37,23,0.0,18,36389,7
3300,"BUCHWALD, STEPHEN LEFFLER",14772,,,Chemistry,Professor,377,1,20,0.0,19,40015,3
1890,"CAO, JIANSHU",135965,,,Chemistry,Professor,168,5,6,0.0,1,11112,4
7840,"CEYER, SYLVIA TERESSE",136402,,,Chemistry,Professor,7,0,10,0.0,12,183,0
4590,"CUMMINS, CHRISTOPHER C",138494,,,Chemistry,Professor,166,3,18,0.0,14,4581,0
3970,"DANHEISER, RICK LANE",23965,,,Chemistry,Professor,38,0,8,0.0,5,1051,8
1910,"DASARI, RAMACHANDRA RAO",1108042,,,Chemistry,Other,146,44,5,0.0,0,9205,0
2050,"DINCA, MIRCEA",412252,,,Chemistry,Associate,151,1,6,0.0,12,20270,0
4530,"FIELD, ROBERT W",32379,,,Chemistry,Professor,169,51,24,0.0,14,2829,1
7405,"GRIFFIN, ROBERT GUY",144907,,,Chemistry,Professor,234,15,58,0.0,4,14265,2
8020,"HONG, MEI",147502,,,Chemistry,Professor,182,0,7,0.0,7,6792,2
2340,"JAMISON, TIMOTHY F",61186,,,Chemistry,Professor,186,0,7,0.0,5,9760,3
6040,"JOHNSON, JEREMIAH A",488073,,,Chemistry,Associate,126,2,11,0.0,5,6304,0
16680,"KIESSLING, LAURA L",60109,,,Chemistry,Professor,254,1,8,0.0,17,4942,9
5950,"KLIBANOV, ALEXANDER M",68245,,,Chemistry,Other,76,1,7,0.0,6,5135,0
7630,"KOOI, STEVEN E",1108041,,,Chemistry,Other,68,12,1,0.0,0,1902,1
3285,"LIPPARD, STEPHEN J",176245,,,Chemistry,Other,343,0,36,0.0,20,27465,15
1820,"NELSON, KEITH ADAM",158105,,,Chemistry,Professor,260,96,48,0.0,11,9296,2
7955,"NOLAN, ELIZABETH MARIE",412253,,,Chemistry,Professor,94,0,10,0.0,10,6121,1
18445,"RAINES, RONALD T",178332,,,Chemistry,Professor,291,4,7,0.0,12,14066,14
3845,"SCHROCK, RICHARD ROYCE",83777,,,Chemistry,Other,222,2,26,0.0,15,10392,4
6905,"SOLOMON, SUSAN",544464,,,Chemistry,Professor,196,0,5,0.0,23,10497,12
3785,"STUBBE, JOANNE",176260,,,Chemistry,Other,156,3,19,0.0,17,5607,4
7775,"SURENDRANATH, YOGESH",627130,,,Chemistry,Associate,73,4,12,0.0,10,9929,1
1340,"SWAGER, TIMOTHY M",125401,,,Chemistry,Professor,382,13,59,0.0,17,20040,7
1810,"VAN VOORHIS, TROY",127724,,,Chemistry,Professor,160,7,6,0.0,5,12556,1
19365,"ZHANG, BIN",827628,,,Chemistry,Assistant,139,10,3,0.0,3,4361,0
2200,"BARNHART, CYNTHIA",7485,,,Civil and Environmental Engineering,Professor,49,4,20,0.0,4,1169,16
2540,"BEN-AKIVA, MOSHE E",9049,,,Civil and Environmental Engineering,Professor,151,21,17,0.0,1,3432,26
3180,"BUEHLER, MARKUS J",135309,,,Civil and Environmental Engineering,Professor,465,20,26,0.0,16,21183,25
3310,"BUYUKOZTURK, ORAL",14923,,,Civil and Environmental Engineering,Professor,79,198,13,0.0,2,2954,5
4475,"EINSTEIN, HERBERT H",29601,,,Civil and Environmental Engineering,Professor,80,9,13,0.0,2,2213,2
1680,"ELTAHIR, ELFATIH A. B",4946,,,Civil and Environmental Engineering,Professor,99,1,15,0.0,3,2095,0
