USPTO,Author_Id,Filing_Date
10017520,14595,2015-12-10
6824987,14595,2000-05-10
62/538471,14595,
60/938362,14595,
60/841035,14595,
61/105589,14595,
60/823876,14595,
60/472261,14595,
62/538415,14595,
61/110728,14595,
16/048088,14595,
16/005455,14595,
11021687,1830,2017-01-06
10982038,1830,2018-06-29
10960073,1830,2019-05-02
10953208,1830,2016-04-29
10954490,1830,2018-07-06
10933139,1830,2018-11-05
10898443,1830,2018-08-22
10874621,1830,2014-10-17
10870112,1830,2018-09-28
10864303,1830,2018-11-30
10864162,1830,2013-06-19
10868284,1830,2014-03-05
10849853,1830,2016-12-09
10851069,1830,2017-04-04
10844028,1830,2018-12-03
10842753,1830,2019-05-10
10835486,1830,2016-12-15
10814115,1830,2012-12-27
10786446,1830,2018-11-26
10736848,1830,2010-04-28
10736966,1830,2015-08-12
10729818,1830,2017-05-05
10730983,1830,2017-06-13
10716751,1830,2015-06-11
10716752,1830,2019-11-22
10709818,1830,2016-11-02
10709667,1830,2019-05-03
10696944,1830,2014-04-17
10682260,1830,2013-06-06
10682374,1830,2018-09-10
10683379,1830,2016-03-23
10675351,1830,2018-05-04
10610482,1830,2018-11-01
10596110,1830,2015-06-11
10568883,1830,2015-09-03
10548959,1830,2016-09-23
10548844,1830,2016-12-08
10532027,1830,2015-06-11
10526573,1830,2017-05-12
10517819,1830,2015-06-11
10426735,1830,2015-08-03
10413507,1830,2016-12-09
10369255,1830,2016-07-21
10347875,1830,2017-07-21
10314917,1830,2014-03-17
10300136,1830,2014-12-16
10292936,1830,2017-05-05
10285949,1830,2016-07-12
10278922,1830,2017-12-05
10201655,1830,2013-08-07
10189802,1830,2017-01-27
10179195,1830,2014-02-17
10172791,1830,2015-09-14
10149635,1830,2016-08-15
10124336,1830,2016-02-12
10117934,1830,2016-01-14
10086013,1830,2016-11-01
10041047,1830,2014-03-11
10041046,1830,2015-09-11
10035871,1830,2012-08-26
10011817,1830,2008-09-29
9994615,1830,2014-08-18
9981068,1830,2014-07-03
9974859,1830,2016-06-06
9970002,1830,2013-12-12
9972649,1830,2016-10-17
9931410,1830,2013-10-09
9931477,1830,2008-02-07
9907704,1830,2014-12-05
9895443,1830,2015-12-22
9867869,1830,2015-06-12
9741975,1830,2015-09-11
9724447,1830,2014-05-23
9700627,1830,2015-07-28
9688812,1830,2015-02-13
9682169,1830,2015-12-18
9649391,1830,2009-10-06
9649279,1830,2014-12-16
9556110,1830,2015-01-16
9555413,1830,2015-03-24
9549901,1830,2013-08-15
9539210,1830,2008-10-12
9526702,1830,2008-10-12
9512073,1830,2012-10-26
9492400,1830,2008-02-26
9458357,1830,2012-03-02
9457128,1830,2013-09-04
9440008,1830,2015-04-23
9439968,1830,2016-01-04
9422373,1830,2012-06-04
9381477,1830,2007-06-22
9339529,1830,2014-08-18
9333179,1830,2008-04-04
9333163,1830,2011-10-19
9332991,1830,2013-11-27
9315472,1830,2014-05-01
9308280,1830,2013-10-04
9301926,1830,2014-04-10
9267937,1830,2009-02-27
9238716,1830,2012-03-23
9236556,1830,2013-11-04
9233072,1830,2012-10-12
9227917,1830,2013-11-25
9217129,1830,2010-08-11
9216188,1830,2009-09-03
9198568,1830,2011-03-04
9193827,1830,2013-05-14
9173732,1830,2008-08-05
9114009,1830,2013-06-25
9101666,1830,2013-09-17
9101695,1830,2014-09-25
9080014,1830,2012-11-09
9060842,1830,2010-10-15
9006487,1830,2006-06-14
8986988,1830,2010-06-22
8969353,1830,2011-08-16
8932595,1830,2008-10-12
8920388,1830,2011-01-31
8912304,1830,2010-09-17
8906381,1830,2009-10-09
8858966,1830,2014-02-11
8822410,1830,2009-05-19
8808681,1830,2007-06-05
8802153,1830,2013-07-25
8709483,1830,2008-09-26
8691203,1830,2012-03-23
8685434,1830,2013-01-15
8642333,1830,2009-02-04
8637028,1830,2011-07-20
8591905,1830,2009-04-22
8580253,1830,2010-11-15
